_id,app_name,user_score,user_date,user_comments,evaluation
6645de3d83f867cdd7e8942b,대한민국 구석구석,2,2023년 3월 11일,전체적인 UI를 바꾸십시오. 사용하기가 아주 불편합니다. 애초에 목적성이 불분명함. Q사람들이 모를만한 여행지를 소개하는가? A아니다 컨텐츠가 너무 부족하다. Q많은 여행지를 소개하는것이 목적인가? A아니다. 페이지별로 나눈것도 아니고 매번 더보기를 누르고 누르고 눌러 계속 확장시켜 내려봐야 한다. 한군데 보고 그 장소 재검색 불가. 다시보기 6번or4번 후 밑에서 두번째 이런식으로 기억해야함. Q 여행지에 대한 자세한 정보가 있는가 A 아니다. 할 말이 없다. 그렇지 않다. 사용불편점. 1.인기여행지 검색이 기본 서울로 되어있는데 지역을 바꾸어 추천 여행지 중 하나를 골라 지역 및 상세정보를 보고 뒤로가기를 하면 다시 서울 지역으로 바뀜. 타 지역 여행지를 알아보려면 한 장소당 한번씩 매번 지역설정을 해야 함. 2. 잘못된 접근 대문 맨 처음 추천된 장소를 누르니 나온 메시지. 잘못된 접근입니다. 컨텐츠가 너무 부실함.,26
6645de3d83f867cdd7e8942c,대한민국 구석구석,1,2023년 12월 7일,등록 안되어 있는 장소가 대부분입니다. 여행계획 짤 때 장소 넣으라고 만든거 아닌가요? 장소가 대부분 등록이 안되어있으니 못 넣는 장소가 한두개가 아니예요. 적어도 네이버에 있는 장소들 다 등록 되어있는게 맞는거 아닌가요? 그리고 축제에 들어가서 축제 찾아보고 앱 홈화면으로 나오려고 하면 나가는 버튼이 없어서 아예 앱을 나갔다가 다시 들어오고 그럼 부팅 되는 시간이 또 걸리고 불편하네요. 별 한개도 아까워요. 여행지 찾아보는게 이 앱의 역할인데 여행지가 등록이 안되어 있고 역할을 제대로 못하면 쓸모없는 앱 아닌가요?,11
6645de3d83f867cdd7e8942d,대한민국 구석구석,1,2023년 12월 28일,이것도 앱이라 만들었다니. 관광정보를 제대로 알려주지도 않는 앱. 검색해도 제대로 안되는 앱. 자체 연결 기능은 없고 무조건 외부 링크만 걸은 듯. 한번 검색한 거 재검색하려면 앱 종료 후 재 실행. 그래도 안되는 정말 요상한 불필요한 공력 낭비를 하게하는 앱.,11
6645de3d83f867cdd7e8942e,대한민국 구석구석,2,2018년 12월 5일,"미흡하지만 현재버전보다 이전 버전의 화면구성이 더 낫다. 고객이 원하는 여행테마, 원하는 지역을 다양화하여 보여주는 것이 좋을 듯 하나 변경된 현재버전은 처음부터 추천여행지를 바로 보여주고 검색을 불편하게 한것같아 별루라 생각된다. 또하나 이전부터 구석구석을 설치하여 여행하는데 도움을 받아보고자 했으나 이용하기 어려웠는데 ...여행의 경험및 느낌을 장대하게 뿔어 기사행태를 내보내는 것도 좋으나 오랜시간 읽어야 하는 단점과 읽고나서 그좋을 여행지로 선택하지 않아 시간낭비인 느낌이 있었다. 하여 각 지역별로 그 지역의 여행지를 정리해 놓은 요약본이 있으면 좋겠다는 생각이 든다",60
6645de3d83f867cdd7e8942f,대한민국 구석구석,3,2021년 5월 14일,"이번 업데이트로 버벅거리던게 많이 해결된 듯 합니다. 그래서 오늘에서야 앱을 좀 둘러보고 있는데요ㅡ 전기차 차주로써 건의드립니다. 충전걱정 없이 다녀올 수 있는 여행경로나 여행지를 소개해주시는 메뉴를 만들어주시면 감사하겠습니다. 충전 걱정때문에 매번 여행지와 충전 지점을 3, 4번씩 검토하고 만약 충전 못할 경우까지 생각해서 후보 충전지점까지 챙겨야 해서 스트레스가 이만저만이 아닙니다.ㅜ.ㅜ",50
6645de3d83f867cdd7e89430,대한민국 구석구석,1,2024년 2월 28일,질문합니다 네이버에서 로그인하면 통합로그인 되는데 앱 깔고 들어가면 통합로그인창에서 인증방법 선택하면 화면이 멈추네요 딸 핸드폰은 용량 확보하니 되는데 여전히 제 핸드본은 같은 즛앙으로 통합로인이 안 되네요 해결 부탁드립니다,1
6645de3d83f867cdd7e89431,대한민국 구석구석,2,2024년 5월 13일,앱을 실행시켜도 처음 화면에서 넘어가지지가 않네요 제것만 그런게 아니라 가족것도 똑같네요.. 뭔 이런 어플이 있는지..,
6645de3d83f867cdd7e89432,대한민국 구석구석,5,2024년 2월 20일,"지속적으로 관광지 정보나 이벤트, 축제 관련 콘텐츠가 업데이트되서 유용합니다. 여행계획할때 많은 도움이 되고 있어요. 가끔씩 경품을 제공하는 이벤트도 있던데 저도 받고싶어요!",1
6645de3d83f867cdd7e89433,대한민국 구석구석,4,2024년 3월 24일,좀 느리네요. 그리고 여행지 검색했을 때 뜨는 목록에 있는 사진들이 너무 어두워요.,
6645de3e83f867cdd7e89434,대한민국 구석구석,1,2024년 1월 24일,기능 사용이 안되요 스케쥴만들기도 안되고 뭐 제대로 되는게 없습니다. 로딩하거나 ai는 오류만나요,
6645de3e83f867cdd7e89435,대한민국 구석구석,1,2024년 1월 9일,업데이트 이후 충돌로 인해 앱이 닫히네요 원인파악 후 오류수정이 필요해 보입니다.,
6645de3e83f867cdd7e89436,대한민국 구석구석,5,2023년 6월 20일,개선 감사합니다! 이제야 속시원히 이용하겠네용 ㅎㅎ 고생하셨습니다~~ //네이버로 인증해 로그인을 하려 했으나 로그인이 안되고 계~속 눌러도 계~속계속 로그인 창으로 돌아옵니다 북마크 하고 싶은 것들 찾아놨는데 북마크도 못하고 허무하네요... 혹시나 싶어서 카카오로 로그인 시도해봤는데 마찬가지로 튕기고 로그인창이 다시 뜹니다 ㅋㅋㅋ 어떻게 좀 해주세요 로그인이 하고싶어요,13
6645de3e83f867cdd7e89437,대한민국 구석구석,2,2023년 7월 15일,"웹뷰라 화면 컴포넌트 로딩이 너무 느리고, 먹통되는 화면도 있음. 목록 조회 쿼리 반응 역시 너무 느림. 상세화면 들어갔다가 다시 목록으로 나오면 처음부터됨. 컨텐츠 자체는 괜찮으나 사용성이 많이 좋지 않음.",13
6645de3e83f867cdd7e89438,대한민국 구석구석,1,2024년 2월 29일,로그인하려고 하면 자꾸 웹으로 넘어갑니다. 디지털주민증 이용해보고 싶어서 왔는데 안돼서 직원분도 당황하시고 저도 민망했습니다.,
6645de3e83f867cdd7e89439,대한민국 구석구석,1,2024년 1월 24일,통합로그인 않됨 정말 사용하기 불편하네요. 로그인 자체가 안되요.,
6645de3e83f867cdd7e8943a,대한민국 구석구석,1,2023년 11월 3일,가족 여행때문에 설치했습니다. 관광지가 지역별로 리스트는 잘 되있으나 관광지 클릭해서 정보 확인 후 뒤로 가기를 누르면 보고있던 지역 리스트 목록이 안나오고 초기화 되서 다시 첨부터 들어가야하는 점이 불편하네요.,
6645de3e83f867cdd7e8943b,대한민국 구석구석,3,2018년 10월 6일,타 여행 앱들과 비교해서 훨씬 많은 정보를 가지고 있어서 좋습니다 하지만 정보 정렬 방식이 너무 복잡하고 어렵고 원하는 정보를 한번에 얻기 어려습니다 그래서 힘드시겠지만 앱 전체가 좀 더 심플하게 리모델링되었으면 좋겠네요ㅎㅎ,22
6645de3e83f867cdd7e8943c,대한민국 구석구석,1,2023년 9월 10일,모든권한 허용해줘도 메인화면에서 아무런 진행도 없이 움직이는 사진이 멈추고 무한정 대기임. 누르는 버튼도 업고 화면을 움직일수 있는것도 아님. 3번 다시깔아봄,11
6645de3e83f867cdd7e8943d,대한민국 구석구석,4,2018년 11월 18일,예전 버전에서는 개인이 여행기나 코스를 올릴수 있었는데 업데이트후 올린게 다 사라진건 가요? 찾을수가 없네요...어디 여행갔다오면 코스를 다 여기에다 올려놨는데 업데이트하고 찾아보니 없네요ㅠㅠ 사라질줄 알았다면 업데이트 안했을텐데...만약 없엣다면 다시 그거만 복구해주시면 안될까요ㅠㅠ 부탁드립니다.,8
6645de3e83f867cdd7e8943e,대한민국 구석구석,2,2022년 11월 5일,핫플콕콕 지역설정하고 들어가는데 클릭하고 들어가서 확인후 다시 뒤로 가기 하면 지역설정 다 풀리고 서울로 다시 돌아가는데 너무 불편합니다. 무슨 말이냐면 전남으로 내가 설정했으면 장소 클릭하고 확인후 다시 뒤로가기하면 전남이 안풀리고 서울로 가지 않게 해주라는겁니다. 이러한점이 개선 됐음 좋겠네요,2
6645de3e83f867cdd7e8943f,대한민국 구석구석,3,2021년 9월 25일,지역 메뉴 - 경기 선택 후에 화면 중간 쯤에서 가평시 고양시 과천시 ... 도시들이 쭈욱 나열되어 있는데 각 도시들을 터치해도 아무런 반응이 없네요. 다른 화면으로 링크되어 있는 것처럼 보이는데 기능 상의 오류인지요?,13
