희귀질환 상병코드,환자수,명세서 청구건수,입내원일수,보험자부담금,요양급여비용총액
D66,1718,30492,31616,140000000000,155000000000
D67,395,5977,6200,54740079160,60505539180
D70,16914,36070,56966,13696287940,15919579930
D71,107,973,1786,528293110,591926350
G10,347,1874,13123,1111407030,1335467120
G35,2700,20548,34769,13941798230,15703625810
A31.9,5869,23877,27674,1840215800,3089941250
A81.0,125,1044,8365,1321104270,1535268340
D12.6,296218,486487,520419,63168459700,101021000000
D55.0,35,77,88,6856310,7990540
D55.2,27,183,174,25094450,29784520
D56.0,18,81,81,3614440,4562440
D56.1,176,555,596,67218180,78468950
D56.2,1,7,8,1747480,1871320
D56.3,44,134,134,11609810,13870710
D56.4,3,6,6,144430,192930
D59.3,231,1145,2822,5434478070,6047858750
D59.5,486,3622,4230,32385778030,35965199050
D60.0,132,1465,1681,400509180,447562350
D61.0,532,2066,2969,1028644930,1221801750
D61.3,2330,18313,27974,12998084030,14428649420
D61.9,7292,32900,48334,16838650140,19778924010
D64.4,19,87,136,68837310,77693390
D68.0,334,1056,1481,640405260,727542380
D68.1,66,144,184,37980190,43192100
D68.2,223,1800,1849,3036763360,3361013420
D68.5,702,2814,2947,300261140,369099650
D68.6,3502,15307,16912,1433121740,1764745200
D69.1,1633,4621,4960,775928680,960859830
D69.3,9759,45246,55777,9809019850,13767405500
D69.4,1824,4855,5075,337382110,590828320
D76.1,670,4594,11527,6225599890,6948341430
D76.3,755,2405,3196,513780780,631632750
D80.0,103,1267,1315,425974240,475155000
D80.1,122,1016,1437,540639010,589361210
D80.2,43,122,127,12216290,14598660
D80.3,309,1671,2109,353198110,405990400
D80.4,15,61,67,3023610,3512860
D80.5,17,212,238,65181920,71613980
D80.6,6,71,71,1392540,1559190
D80.8,4,24,24,13347990,14874890
D81.0,3,3,3,47610,67810
D81.1,3,45,461,170579230,181947840
D81.2,6,158,326,111640600,127924720
D81.3,1,5,5,1311670,1380680
D81.4,1,1,1,28800,32000
D81.8,52,149,149,5719750,6809850
D81.9,148,767,891,138988890,156260880
D82.0,26,177,304,149267060,162203320
D82.1,300,2502,2558,177595100,198305550
D82.3,5,64,184,145144060,156044340
D82.4,43,273,329,40566520,47024900
D83.0,16,275,337,91031040,100888590
D83.1,5,61,65,27598930,30695110
D83.2,3,12,12,2018050,2276450
D84.0,2,11,48,9455560,10805530
D84.1,152,816,838,640361950,714790320
D86.0,1732,7585,8452,1089640860,1255853140
D86.1,693,2626,2941,434519450,503011560
D86.2,598,2625,2810,314850600,362639100
D86.3,210,972,1000,56197770,68571270
D86.8,371,2036,2640,449749790,515381930
D89.1,38,108,156,13829460,18493950
E20.1,280,1353,1467,93109400,125533250
E22.0,1590,10712,11062,7673728620,8550939790
E23.0,23786,170226,174838,21057693010,40018074830
E24.0,368,1970,2458,489537540,571921030
E24.1,4,15,15,726400,806000
E24.3,44,197,283,61663000,70171920
E25.0,1123,6602,6912,702483760,779769600
E25.9,117,397,400,22278040,25996040
E26.8,194,812,1218,171535640,203430840
E27.1,537,2220,2527,171297890,208355250
E27.2,90,303,631,130301290,156765790
E27.4,10178,37050,54510,4594524240,6127650460
E34.8,445,903,1245,109876560,165270840
E55.0,428,1408,1500,128874260,153529960
E70.0,91,557,578,455216250,503036520
E70.1,163,1015,1110,2044603260,2267849750
E70.2,45,165,193,281344270,313283510
E70.3,231,586,614,60191870,70421870
E70.8,9,16,16,297620,635020
E71.0,39,348,433,124940760,138941870
E71.1,162,1214,2067,721979360,796635600
E71.3,383,3004,4442,809208220,895685800
E72.0,145,1487,1950,330505380,364595920
E72.1,208,634,674,162887510,188877140
E72.2,320,1850,3050,2129968260,2337885540
E72.3,21,421,471,66772530,75142620
E72.4,29,276,326,166204770,186060280
E72.5,64,257,432,57670650,74599610
E72.8,118,667,778,136440360,149362890
E73.0,3,3,3,282030,449530
E74.0,314,2520,3289,9620690730,10644062790
E74.2,238,514,506,68298770,79428990
E74.4,22,591,639,77532580,83225170
E74.8,83,429,467,46477230,56715360
E75.0,13,196,215,33907100,36969750
E75.1,60,447,1057,319844320,349104200
E75.2,613,11274,12752,51707865120,57404102200
E75.4,24,306,407,87826180,96205750
E75.5,349,858,929,57870550,89740230
E76.0,27,1286,1725,6713868520,7448628570
E76.1,88,5115,5789,28688206190,31614813280
E76.2,67,2134,2252,13574299740,14996839460
E77.0,22,558,568,36222070,40086410
E77.1,5,156,156,7195260,7987060
E79.1,34,1012,1066,71359600,78538360
E80.2,44,488,507,24438030,27929210
E83.0,1513,8546,11023,2633600070,2981104120
E83.1,564,1633,1794,168300410,221856390
E83.2,33,53,53,2517600,3807600
E83.3,734,2280,2419,988885090,1118912560
E84.0,34,236,379,73345370,83212880
E84.1,32,101,210,31035210,36079110
E85.0,19,64,191,25240000,29377930
E85.1,47,295,487,106829060,118103630
E85.2,59,374,417,79325400,89703500
E85.4,806,4499,8560,2426960000,2787991120
E88.0,3567,10865,12986,816171310,1214302810
E88.1,209,375,376,8545550,19741440
F01.1,1825,7637,19105,1330766540,1711118180
F80.3,16,153,428,39428880,46423030
F84.2,393,11430,12940,1041094010,1163884320
G04.8,1321,9436,38108,12598913460,14720943960
G11.0,20,756,827,60776740,67545620
G11.1,766,5969,15201,1435707600,1662834490
G11.2,2313,16841,52917,5449386490,6428830480
G11.3,38,349,1128,152821750,170042950
G11.4,734,8259,10680,790842990,926470470
G11.8,117,1181,2392,158624230,187793600
G11.9,2140,18309,30957,2819440240,3341908690
G12.0,58,1201,1373,17699756280,18632588640
G12.1,263,4798,7187,15954152350,17135833940
G12.2,4388,60703,165322,26596372800,30880357020
G12.8,124,598,940,738567000,826990360
G12.9,388,6308,10079,19428705670,21015108330
G23.0,46,680,876,149834620,166530350
G23.1,1396,7992,33777,3925348640,4616804640
G23.8,1410,4766,6361,418271240,564826670
G24.8,4377,10430,10764,686567440,1318354380
G25.8,50339,158541,162054,4423933980,7077153210
G36.0,2122,17725,36205,7478323870,8560618010
G40.4,5241,67394,81782,11450915640,12864980780
G41.0,415,2877,8475,1423922150,1632472050
G41.1,168,598,1365,191015170,220286400
G41.2,430,2212,8395,2031507640,2297305940
G41.8,820,3740,22048,5311818950,6094720530
G41.9,4658,28162,125987,34067900720,38570064140
G47.4,6822,25171,27525,2932430030,3524763900
G51.2,5,24,24,887620,1569220
G51.8,5485,12227,12760,614881130,933705170
G60.0,1640,8410,9386,793885330,919498710
G61.0,3433,29117,110891,20092862550,23216572520
G61.8,1624,10919,20194,4378119400,5053388200
G70.0,9394,47796,70053,7810611800,9184496540
G70.2,34,301,332,79296700,84324290
G71.0,2649,33119,38965,3147311570,3583750360
G71.1,1595,11297,19689,2119096150,2428871060
G71.2,476,9404,11351,1637677520,1782710350
G71.3,783,11404,16542,3093299670,3439785480
G71.9,492,1842,2036,109920980,134850220
G72.3,978,2502,3272,491942370,704316110
G72.4,224,1163,1948,183827860,255500860
G73.1,60,351,1005,97121880,116079100
G90.5,2608,34271,43437,3941269250,4548218830
G90.6,3098,24239,26862,1668990780,1940894410
G93.4,5090,15663,48799,7687933800,9987269440
G95.0,1812,11716,20541,1984487190,2354545720
H16.3,15131,25314,25327,494621080,689369280
H18.5,6208,11881,12132,645122210,1121965000
H18.6,5785,12570,12659,873307060,1165591950
H31.2,234,427,427,29786500,44626600
H35.0,67113,120137,120410,6222112140,9242286500
H49.4,113,337,398,46321570,72102550
H49.8,1396,2550,2705,226829060,353808820
H51.8,360,640,652,57812410,87167600
I27.0,1925,10377,18151,11096845960,12282915250
I27.8,399,1976,2987,1386471280,1548018360
I42.0,26429,117334,188185,55683333390,61810186700
I42.1,2762,11159,14978,4054995340,4474591900
I42.3,30,92,158,33850970,38331080
