희귀질환 상병코드,환자수,명세서 청구건수,입내원일수,보험자부담금,요양급여비용총액
Q22.5,756,3061,4255,1566337320,1674176040
Q22.6,73,254,344,188530020,202337810
Q23.0,707,2136,2867,1400914370,1493538620
Q23.1,5456,18800,23660,8378068180,9087710930
Q23.2,100,345,616,383075270,406284460
Q23.3,819,2010,2582,1094884570,1176239500
Q23.4,136,1297,3330,3557073110,3683230600
Q23.8,88,231,260,32008330,38460930
Q23.9,216,671,880,469860820,490040110
Q24.4,127,328,451,234224070,252126720
Q24.5,2822,8310,10403,1746560200,2026741470
Q24.6,99,369,495,257647740,271692210
Q25.1,1326,4178,6937,5803051760,5954864090
Q25.2,52,228,450,484937370,503230550
Q25.3,266,825,1409,570241140,617345400
Q25.5,419,1583,2522,2054454540,2145459850
Q26.0,8,28,30,2833870,3203920
Q26.1,187,500,597,118357080,125964630
Q26.2,393,1698,3603,3829995640,3898731720
Q26.3,304,859,1206,691655080,738125960
Q26.4,20,53,71,30983320,33683150
Q26.5,52,140,176,24754790,28720480
Q26.6,21,33,35,10510720,12351670
Q28.2,4323,14523,23173,8477984110,10295584830
Q38.3,235,336,341,17619260,22233490
Q43.8,220,3191,4263,943319460,1022378880
Q44.2,689,3485,7616,3819669120,4204159730
Q44.6,8670,13261,14236,1294804850,2036630860
Q44.7,143,721,927,218713760,246416110
Q61.1,100,393,497,102199870,119212930
Q61.9,2685,5123,5191,304517540,533093460
Q64.1,26,155,394,144667750,154043730
Q74.0,1788,3469,3797,315801480,436913890
Q74.3,195,2538,3154,418322070,455038880
Q74.8,407,806,1129,146624380,186299220
Q75.0,1818,6977,8854,2190861870,2362022840
Q75.1,124,982,1118,194737270,214086150
Q75.4,75,1105,1256,205359310,225805690
Q76.1,83,290,567,231974540,238832980
Q77.0,6,44,51,8985930,9667950
Q77.1,8,13,13,128730,175030
Q77.2,4,6,6,147810,177410
Q77.3,169,833,964,114464650,136733180
Q77.4,380,3653,4666,780688040,848949690
Q77.5,3,62,62,2707710,3137710
Q77.6,5,68,73,6814060,7348890
Q77.7,150,766,919,95150830,110892490
Q77.8,70,360,409,60183620,67530300
Q77.9,14,36,36,2429950,3132950
Q78.0,433,1990,2471,339274570,386615990
Q78.1,280,1049,1428,216676870,254080500
Q78.2,103,484,632,119631780,136776640
Q78.3,11,59,63,6272550,7554990
Q78.4,533,1614,1970,164755180,214094190
Q78.5,27,65,70,2821100,4910090
Q78.6,312,1073,1457,247910610,283950520
Q78.9,142,243,271,30422790,40537500
Q79.0,276,1182,2323,1928776110,1957724820
Q79.1,321,838,1192,355032310,412235850
Q79.2,233,919,2182,978846170,1028555040
Q79.3,35,189,284,123873390,126884030
Q79.4,9,102,140,33214260,35394170
Q79.5,22,47,45,4969830,6198630
Q79.6,112,808,872,107771160,123742540
Q79.8,345,1520,1811,263157870,292916970
Q79.9,390,2208,2338,164894280,185784610
Q80.1,31,76,76,1736370,3169270
Q80.2,11,55,55,1703160,2229760
Q80.3,16,97,103,7055420,8208200
Q80.4,6,60,105,39743940,40435200
Q81.0,102,249,267,49185310,58446220
Q81.1,3,19,19,23798630,26471530
Q81.2,46,353,585,332226280,370479830
Q82.0,107,402,411,23121420,33753910
Q82.3,219,629,654,53814430,62230440
