행정구역,지역구,소계,용도지역기준(도시인구),용도지역기준(비도시인구),행정구역기준(도시인구),행정구역기준(농촌인구),용도지역 인구기준(도시지역 인구비율(%)),행정구역 인구기준(도시지역 인구비율(%))
전국,소계,51439038,47294436,4144602,47038612,4400426,91.94,91.45
서울특별시,소계,9428372,9428372,-,9428372,-,100.00,100.0
서울특별시,종로구,141379,141379,-,141379,-,100.00,100.0
서울특별시,중구,120437,120437,-,120437,-,100.00,100.0
서울특별시,용산구,218650,218650,-,218650,-,100.00,100.0
서울특별시,성동구,281000,281000,-,281000,-,100.00,100.0
서울특별시,광진구,337416,337416,-,337416,-,100.00,100.0
서울특별시,동대문구,336644,336644,-,336644,-,100.00,100.0
서울특별시,중랑구,385318,385318,-,385318,-,100.00,100.0
서울특별시,성북구,430397,430397,-,430397,-,100.00,100.0
서울특별시,강북구,293660,293660,-,293660,-,100.00,100.0
서울특별시,도봉구,311694,311694,-,311694,-,100.00,100.0
서울특별시,노원구,503734,503734,-,503734,-,100.00,100.0
서울특별시,은평구,466746,466746,-,466746,-,100.00,100.0
서울특별시,서대문구,306337,306337,-,306337,-,100.00,100.0
서울특별시,마포구,364638,364638,-,364638,-,100.00,100.0
서울특별시,양천구,440881,440881,-,440881,-,100.00,100.0
서울특별시,강서구,569166,569166,-,569166,-,100.00,100.0
서울특별시,구로구,395315,395315,-,395315,-,100.00,100.0
서울특별시,금천구,229642,229642,-,229642,-,100.00,100.0
서울특별시,영등포구,375675,375675,-,375675,-,100.00,100.0
서울특별시,동작구,380596,380596,-,380596,-,100.00,100.0
서울특별시,관악구,486752,486752,-,486752,-,100.00,100.0
서울특별시,서초구,404325,404325,-,404325,-,100.00,100.0
서울특별시,강남구,529102,529102,-,529102,-,100.00,100.0
서울특별시,송파구,658801,658801,-,658801,-,100.00,100.0
서울특별시,강동구,460067,460067,-,460067,-,100.00,100.0
부산광역시,소계,3317812,3317812,-,3310077,7735,100.00,99.77
부산광역시,중구,39689,39689,-,39689,-,100.00,100.0
부산광역시,서구,105192,105192,-,105192,-,100.00,100.0
부산광역시,동구,86462,86462,-,86462,-,100.00,100.0
부산광역시,영도구,108156,108156,-,108156,-,100.00,100.0
부산광역시,부산진구,355917,355917,-,355917,-,100.00,100.0
부산광역시,동래구,273226,273226,-,273226,-,100.00,100.0
부산광역시,남구,256333,256333,-,256333,-,100.00,100.0
부산광역시,북구,278857,278857,-,278857,-,100.00,100.0
부산광역시,해운대구,386785,386785,-,386785,-,100.00,100.0
부산광역시,사하구,301987,301987,-,301987,-,100.00,100.0
부산광역시,금정구,221256,221256,-,221256,-,100.00,100.0
부산광역시,강서구,143207,143207,-,143207,-,100.00,100.0
부산광역시,연제구,203536,203536,-,203536,-,100.00,100.0
부산광역시,수영구,174806,174806,-,174806,-,100.00,100.0
부산광역시,사상구,203789,203789,-,203789,-,100.00,100.0
부산광역시,기장군,178614,178614,-,170879,7735,100.00,95.67
대구광역시,소계,2363691,2359056,4635,2332955,30736,99.80,98.7
대구광역시,중구,80199,80199,-,80199,-,100.00,100.0
대구광역시,동구,339530,334909,4621,339530,-,98.64,100.0
