"시·군·구별(1)","성별(1)",2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"시·군·구별(1)","성별(1)",계,계,계,일반,일반,일반,감경,감경,감경,의료급여,의료급여,의료급여,기초,기초,기초,계,계,계,일반,일반,일반,감경,감경,감경,의료급여,의료급여,의료급여,기초,기초,기초,계,계,계,일반,일반,일반,감경,감경,감경,의료급여,의료급여,의료급여,기초,기초,기초,계,계,계,일반,일반,일반,감경,감경,감경,의료급여,의료급여,의료급여,기초,기초,기초,계,계,계,일반,일반,일반,감경,감경,감경,의료급여,의료급여,의료급여,기초,기초,기초,계,계,계,일반,일반,일반,감경,감경,감경,의료급여,의료급여,의료급여,기초,기초,기초,계,계,계,일반,일반,일반,감경,감경,감경,의료급여,의료급여,의료급여,기초,기초,기초,계,계,계,일반,일반,일반,감경,감경,감경,의료급여,의료급여,의료급여,기초,기초,기초,계,계,계,일반,일반,일반,감경,감경,감경,의료급여,의료급여,의료급여,기초,기초,기초,계,계,계,일반,일반,일반,감경,감경,감경,의료급여,의료급여,의료급여,기초,기초,기초
"시·군·구별(1)","성별(1)",계,65세미만,65세이상,계,65세미만,65세이상,계,65세미만,65세이상,계,65세미만,65세이상,계,65세미만,65세이상,계,65세미만,65세이상,계,65세미만,65세이상,계,65세미만,65세이상,계,65세미만,65세이상,계,65세미만,65세이상,계,65세미만,65세이상,계,65세미만,65세이상,계,65세미만,65세이상,계,65세미만,65세이상,계,65세미만,65세이상,계,65세미만,65세이상,계,65세미만,65세이상,계,65세미만,65세이상,계,65세미만,65세이상,계,65세미만,65세이상,계,65세미만,65세이상,계,65세미만,65세이상,계,65세미만,65세이상,계,65세미만,65세이상,계,65세미만,65세이상,계,65세미만,65세이상,계,65세미만,65세이상,계,65세미만,65세이상,계,65세미만,65세이상,계,65세미만,65세이상,계,65세미만,65세이상,계,65세미만,65세이상,계,65세미만,65세이상,계,65세미만,65세이상,계,65세미만,65세이상,계,65세미만,65세이상,계,65세미만,65세이상,계,65세미만,65세이상,계,65세미만,65세이상,계,65세미만,65세이상,계,65세미만,65세이상,계,65세미만,65세이상,계,65세미만,65세이상,계,65세미만,65세이상,계,65세미만,65세이상,계,65세미만,65세이상,계,65세미만,65세이상,계,65세미만,65세이상,계,65세미만,65세이상,계,65세미만,65세이상
"부산","남자",11918,1788,10130,8416,993,7423,912,216,696,160,13,147,2430,566,1864,12622,1790,10832,8800,950,7850,1095,216,879,170,13,157,2557,611,1946,13219,1802,11417,9052,908,8144,1202,214,988,159,11,148,2806,669,2137,14481,1850,12631,9721,894,8827,1475,228,1247,159,10,149,3126,718,2408,16303,1939,14364,10841,907,9934,1732,241,1491,164,9,155,3566,782,2784,18396,2006,16390,10270,712,9558,3880,430,3450,180,7,173,4066,857,3209,21389,2148,19241,11731,710,11021,4668,472,4196,198,10,188,4792,956,3836,23222,2232,20990,12600,718,11882,5162,479,4683,211,12,199,5249,1023,4226,26080,2245,23835,13544,686,12858,6542,494,6048,221,10,211,5773,1055,4718,28234,2208,26026,14317,666,13651,7368,453,6915,247,8,239,6302,1081,5221
"부산","여자",31722,1321,30401,21212,816,20396,2469,117,2352,406,6,400,7635,382,7253,33744,1359,32385,22449,821,21628,3054,136,2918,428,9,419,7813,393,7420,35697,1406,34291,23579,825,22754,3417,142,3275,451,7,444,8250,432,7818,38474,1434,37040,25077,835,24242,4162,146,4016,471,8,463,8764,445,8319,42137,1506,40631,27220,877,26343,4978,154,4824,510,6,504,9429,469,8960,46336,1568,44768,25362,739,24623,10122,318,9804,548,5,543,10304,506,9798,52097,1660,50437,28006,745,27261,12082,366,11716,599,6,593,11410,543,10867,55976,1665,54311,29805,735,29070,13211,357,12854,618,5,613,12342,568,11774,61094,1623,59471,31069,693,30376,16115,357,15758,659,3,656,13251,570,12681,65220,1639,63581,32083,664,31419,18373,373,18000,696,3,693,14068,599,13469
"대구","합계",29124,2071,27053,19259,1095,18164,2879,266,2613,529,15,514,6457,695,5762,31452,2165,29287,20613,1158,19455,3422,261,3161,552,13,539,6865,733,6132,33376,2185,31191,21674,1141,20533,3893,252,3641,599,15,584,7210,777,6433,36082,2288,33794,23340,1152,22188,4320,272,4048,607,13,594,7815,851,6964,39634,2366,37268,25318,1136,24182,5178,290,4888,674,12,662,8464,928,7536,43742,2454,41288,23520,948,22572,10106,495,9611,735,9,726,9381,1002,8379,48563,2614,45949,25689,962,24727,11732,540,11192,813,13,800,10329,1099,9230,51569,2680,48889,27000,987,26013,12623,500,12123,883,13,870,11063,1180,9883,56348,2711,53637,28241,888,27353,15147,577,14570,970,7,963,11990,1239,10751,59435,2737,56698,29004,868,28136,16789,592,16197,1030,7,1023,12612,1270,11342
"대구","남자",7856,1245,6611,5382,615,4767,741,171,570,149,11,138,1584,448,1136,8461,1291,7170,5741,636,5105,877,172,705,146,9,137,1697,474,1223,8955,1290,7665,5985,614,5371,966,168,798,160,10,150,1844,498,1346,9718,1363,8355,6468,627,5841,1040,181,859,167,9,158,2043,546,1497,10813,1411,9402,7124,610,6514,1234,186,1048,179,9,170,2276,606,1670,12164,1460,10704,6771,507,6264,2603,298,2305,189,6,183,2601,649,1952,13701,1559,12142,7528,503,7025,2989,329,2660,218,9,209,2966,718,2248,14673,1611,13062,7983,527,7456,3238,303,2935,218,8,210,3234,773,2461,16239,1616,14623,8463,467,7996,3963,339,3624,243,3,240,3570,807,2763,17444,1621,15823,8956,466,8490,4391,336,4055,272,4,268,3825,815,3010
"대구","여자",21268,826,20442,13877,480,13397,2138,95,2043,380,4,376,4873,247,4626,22991,874,22117,14872,522,14350,2545,89,2456,406,4,402,5168,259,4909,24421,895,23526,15689,527,15162,2927,84,2843,439,5,434,5366,279,5087,26364,925,25439,16872,525,16347,3280,91,3189,440,4,436,5772,305,5467,28821,955,27866,18194,526,17668,3944,104,3840,495,3,492,6188,322,5866,31578,994,30584,16749,441,16308,7503,197,7306,546,3,543,6780,353,6427,34862,1055,33807,18161,459,17702,8743,211,8532,595,4,591,7363,381,6982,36896,1069,35827,19017,460,18557,9385,197,9188,665,5,660,7829,407,7422,40109,1095,39014,19778,421,19357,11184,238,10946,727,4,723,8420,432,7988,41991,1116,40875,20048,402,19646,12398,256,12142,758,3,755,8787,455,8332
"인천","합계",34357,2525,31832,23363,1327,22036,3661,328,3333,354,16,338,6979,854,6125,36756,2662,34094,24566,1375,23191,4310,340,3970,377,18,359,7503,929,6574,39473,2859,36614,25777,1420,24357,4772,335,4437,401,15,386,8523,1089,7434,42598,3001,39597,27421,1432,25989,5406,358,5048,451,11,440,9320,1200,8120,46568,3174,43394,29705,1495,28210,6150,375,5775,521,13,508,10192,1291,8901,51065,3299,47766,25615,1138,24477,13495,737,12758,574,14,560,11381,1410,9971,56247,3570,52677,27580,1170,26410,15271,785,14486,727,16,711,12669,1599,11070,60052,3736,56316,29253,1233,28020,16143,794,15349,695,14,681,13961,1695,12266,65286,3859,61427,30046,1202,28844,19305,882,18423,718,14,704,15217,1761,13456,69293,3939,65354,31110,1244,29866,20981,854,20127,726,18,708,16476,1823,14653
"인천","남자",9339,1483,7856,6340,720,5620,1028,215,813,117,12,105,1854,536,1318,10001,1568,8433,6683,742,5941,1128,221,907,123,10,113,2067,595,1472,10818,1692,9126,7012,754,6258,1198,214,984,137,9,128,2471,715,1756,11790,1787,10003,7544,776,6768,1371,215,1156,144,5,139,2731,791,1940,13014,1881,11133,8256,802,7454,1577,222,1355,164,6,158,3017,851,2166,14554,1957,12597,7266,602,6664,3631,426,3205,175,8,167,3482,921,2561,16203,2123,14080,7908,600,7308,4052,461,3591,222,9,213,4021,1053,2968,17460,2201,15259,8436,616,7820,4314,468,3846,211,7,204,4499,1110,3389,19230,2268,16962,8830,596,8234,5208,510,4698,216,7,209,4976,1155,3821,20767,2318,18449,9390,635,8755,5647,481,5166,220,9,211,5510,1193,4317
"인천","여자",25018,1042,23976,17023,607,16416,2633,113,2520,237,4,233,5125,318,4807,26755,1094,25661,17883,633,17250,3182,119,3063,254,8,246,5436,334,5102,28655,1167,27488,18765,666,18099,3574,121,3453,264,6,258,6052,374,5678,30808,1214,29594,19877,656,19221,4035,143,3892,307,6,301,6589,409,6180,33554,1293,32261,21449,693,20756,4573,153,4420,357,7,350,7175,440,6735,36511,1342,35169,18349,536,17813,9864,311,9553,399,6,393,7899,489,7410,40044,1447,38597,19672,570,19102,11219,324,10895,505,7,498,8648,546,8102,42592,1535,41057,20817,617,20200,11829,326,11503,484,7,477,9462,585,8877,46056,1591,44465,21216,606,20610,14097,372,13725,502,7,495,10241,606,9635,48526,1621,46905,21720,609,21111,15334,373,14961,506,9,497,10966,630,10336
"광주","합계",20840,1080,19760,14231,571,13660,1769,119,1650,449,7,442,4391,383,4008,22654,1121,21533,15275,572,14703,2134,113,2021,484,7,477,4761,429,4332,23873,1125,22748,16037,566,15471,2452,105,2347,482,6,476,4902,448,4454,25577,1181,24396,17024,564,16460,2815,123,2692,528,6,522,5210,488,4722,27558,1243,26315,18267,595,17672,3193,131,3062,565,7,558,5533,510,5023,29854,1310,28544,17292,498,16794,6007,233,5774,614,10,604,5941,569,5372,32652,1418,31234,18510,524,17986,7134,265,6869,664,10,654,6344,619,5725,34019,1461,32558,19165,518,18647,7569,270,7299,695,10,685,6590,663,5927,35960,1489,34471,19479,492,18987,8997,307,8690,730,10,720,6754,680,6074,37229,1532,35697,19489,490,18999,9989,321,9668,750,9,741,7001,712,6289
"광주","남자",5067,583,4484,3570,283,3287,429,65,364,118,4,114,950,231,719,5521,608,4913,3844,281,3563,498,64,434,121,4,117,1058,259,799,5863,632,5231,4042,295,3747,565,63,502,118,5,113,1138,269,869,6441,677,5764,4413,293,4120,614,81,533,132,5,127,1282,298,984,7074,710,6364,4758,307,4451,729,84,645,142,6,136,1445,313,1132,7908,757,7151,4606,259,4347,1502,133,1369,163,8,155,1637,357,1280,8950,807,8143,5123,274,4849,1812,146,1666,175,7,168,1840,380,1460,9462,852,8610,5403,278,5125,1903,150,1753,187,8,179,1969,416,1553,10265,868,9397,5707,270,5437,2308,172,2136,194,7,187,2056,419,1637,10851,889,9962,5854,269,5585,2575,175,2400,204,7,197,2218,438,1780
