"부산광역시","여자",264583,85045,75639,51613,30952,15403,5931,277541,89892,76518,54954,32961,16851,6365,288297,95604,74902,57550,35478,17826,6937,300574,99914,74598,61226,38063,19144,7629,316511,104531,76338,66301,40327,20302,8712,329926,107040,80538,68747,42794,21253,9554,345252,110925,85202,69715,45931,22940,10539,366321,122163,90801,68654,48336,25066,11301,383838,129864,94764,68394,51597,26969,12250,402378,135273,99356,70265,56150,28407,12927
"대구광역시","계",286764,94046,86202,57797,30612,13119,4988,300994,99769,86295,61462,33866,14228,5374,313616,107016,84385,63683,37417,15339,5776,326143,113023,82229,67351,40524,16832,6184,344843,119679,82849,73561,43169,18694,6891,360327,122623,87285,76318,46187,20291,7623,376830,126800,92514,76645,49686,22777,8408,398151,137544,99251,75137,51731,25279,9209,417189,146794,104443,73224,54893,27641,10194,437427,152710,110518,74021,59869,29255,11054
"대구광역시","남자",117685,43488,37262,22683,9796,3472,984,124453,46502,37456,24372,11246,3783,1094,130501,50153,36812,25407,12924,4028,1177,136347,52817,36340,27126,14291,4521,1252,144843,55949,36639,30155,15481,5165,1454,151706,57204,38947,31429,16731,5792,1603,159677,59479,41718,31671,18192,6821,1796,169059,63989,44930,31286,19106,7805,1943,177898,68526,47106,30899,20487,8717,2163,187360,71766,49752,31248,22815,9335,2444
"대구광역시","여자",169079,50558,48940,35114,20816,9647,4004,176541,53267,48839,37090,22620,10445,4280,183115,56863,47573,38276,24493,11311,4599,189796,60206,45889,40225,26233,12311,4932,200000,63730,46210,43406,27688,13529,5437,208621,65419,48338,44889,29456,14499,6020,217153,67321,50796,44974,31494,15956,6612,229092,73555,54321,43851,32625,17474,7266,239291,78268,57337,42325,34406,18924,8031,250067,80944,60766,42773,37054,19920,8610
"인천광역시","계",280527,95084,78789,54675,30901,14541,6537,296039,101387,79877,58228,33294,16128,7125,311144,107570,81508,60270,36531,17592,7673,322950,108618,83460,63784,39975,18888,8225,344354,115713,86225,70309,42540,20483,9084,362441,120406,91621,72610,45810,22040,9954,385493,129891,97468,73813,49145,23998,11178,412899,145828,102882,74807,50807,26436,12139,440132,163460,103655,76771,54119,28903,13224,471286,176775,110691,79584,59547,30587,14102
"인천광역시","남자",116823,45808,34835,21245,9574,3715,1646,124499,49198,35756,23008,10630,4143,1764,131972,52464,36959,24072,12135,4528,1814,137500,53004,38207,25892,13598,4965,1834,148015,56876,39813,29069,14846,5421,1990,156698,58999,42785,30437,16346,5940,2191,167816,63617,45805,31358,17915,6698,2423,180777,71060,48607,32135,18715,7720,2540,193845,79581,49095,33473,20300,8643,2753,208841,85934,52819,35099,22667,9371,2951
"인천광역시","여자",163704,49276,43954,33430,21327,10826,4891,171540,52189,44121,35220,22664,11985,5361,179172,55106,44549,36198,24396,13064,5859,185450,55614,45253,37892,26377,13923,6391,196339,58837,46412,41240,27694,15062,7094,205743,61407,48836,42173,29464,16100,7763,217677,66274,51663,42455,31230,17300,8755,232122,74768,54275,42672,32092,18716,9599,246287,83879,54560,43298,33819,20260,10471,262445,90841,57872,44485,36880,21216,11151
"광주광역시","계",150772,51137,43368,29082,16304,7400,3481,158614,54411,43815,30796,17574,8436,3582,165249,57123,44223,31937,19026,9143,3797,171390,58256,44519,34407,20427,9722,4059,179892,59649,45047,38374,22024,10356,4442,186244,60111,47816,38850,23692,11059,4716,194655,61698,50869,39429,25220,12116,5323,204909,66390,53363,39782,26362,13149,5863,213789,70473,54444,40076,28533,14082,6181,224031,74551,55621,40642,31653,15103,6461
"광주광역시","남자",62299,24061,19131,11441,5096,1987,583,65887,25564,19451,12298,5670,2242,662,69123,26821,19885,12875,6456,2381,705,72051,27230,20306,14073,7074,2593,775,76039,27993,20459,16100,7821,2804,862,78840,28081,21735,16384,8628,3078,934,82786,28936,23077,16734,9421,3497,1121,87574,31130,24175,17113,9969,3959,1228,91880,33225,24547,17476,10964,4354,1314,96591,35158,25145,17605,12448,4837,1398
"광주광역시","여자",88473,27076,24237,17641,11208,5413,2898,92727,28847,24364,18498,11904,6194,2920,96126,30302,24338,19062,12570,6762,3092,99339,31026,24213,20334,13353,7129,3284,103853,31656,24588,22274,14203,7552,3580,107404,32030,26081,22466,15064,7981,3782,111869,32762,27792,22695,15799,8619,4202,117335,35260,29188,22669,16393,9190,4635,121909,37248,29897,22600,17569,9728,4867,127440,39393,30476,23037,19205,10266,5063
"대전광역시","계",149716,49578,42620,29783,16676,7676,3383,157400,52603,43135,31522,18155,8355,3630,164625,56057,43776,32123,19781,9051,3837,170634,57819,43564,33945,21408,9847,4051,180139,61120,43629,37421,22811,10655,4503,187809,62518,46186,38338,24318,11508,4941,198088,66810,48635,38667,26045,12587,5344,210304,73094,51906,39210,26550,13740,5804,221902,79967,53454,39061,28166,14978,6276,234095,85166,56425,39095,30943,15729,6737
