"시도별(1)","성별(1)",2013,2013,2014,2014,2015,2015,2016,2016,2017,2017,2018,2018,2019,2019,2020,2020,2021,2021,2022,2022
"시도별(1)","성별(1)",전체인구수 (명),65세이상인구수 (명),전체인구수 (명),65세이상인구수 (명),전체인구수 (명),65세이상인구수 (명),전체인구수 (명),65세이상인구수 (명),전체인구수 (명),65세이상인구수 (명),전체인구수 (명),65세이상인구수 (명),전체인구수 (명),65세이상인구수 (명),전체인구수 (명),65세이상인구수 (명),전체인구수 (명),65세이상인구수 (명),전체인구수 (명),65세이상인구수 (명)
"강원특별자치도","여자",764694,144711,765867,148038,767876,151120,769681,153485,770543,160567,767875,165144,768908,171731,769570,179825,772380,187840,773867,196279
"충청북도","계",1586301,220933,1596392,227651,1603385,233730,1613645,239740,1620866,251752,1627206,261249,1637877,273478,1639851,288730,1642178,303712,1646888,320214
"충청북도","남자",801903,90343,807719,93639,811691,96690,817811,99655,822054,105840,827274,110739,834531,116939,835938,124694,837074,132595,842079,141308
"충청북도","여자",784398,130590,788673,134012,791694,137040,795834,140085,798812,145912,799932,150510,803346,156539,803913,164036,805104,171117,804809,178906
"충청남도","계",2072201,318457,2091416,329207,2111740,339888,2134856,348924,2160784,362321,2173836,372361,2190935,387370,2189760,406300,2199614,424133,2214188,442733
"충청남도","남자",1053538,131245,1064954,136490,1076275,141643,1088919,146182,1103617,152715,1111352,157785,1123216,165246,1123899,174932,1129212,184030,1139241,194006
"충청남도","여자",1018663,187212,1026462,192717,1035465,198245,1045937,202742,1057167,209606,1062484,214576,1067719,222124,1065861,231368,1070402,240103,1074947,248727
"전라북도","계",1878881,310841,1879256,320492,1879683,331540,1875721,339213,1867164,349534,1850029,356693,1837478,369101,1823413,384777,1815272,398057,1803057,412029
"전라북도","남자",936057,124583,936067,129041,935868,134449,933551,138430,929095,143732,920672,147622,914868,153946,907944,161936,904298,168999,898833,176589
"전라북도","여자",942824,186258,943189,191451,943815,197091,942170,200783,938069,205802,929357,209071,922610,215155,915469,222841,910974,229058,904224,235440
"전라남도","계",1911985,372375,1913324,381460,1920319,389726,1914874,396654,1908569,406395,1896986,411223,1891561,420915,1875643,434266,1862523,445866,1854960,459292
"전라남도","남자",954927,144446,956487,149100,960733,153636,958397,157839,955264,163057,951381,166167,952907,171674,946656,179117,939514,185886,937978,193842
"전라남도","여자",957058,227929,956837,232360,959586,236090,956477,238815,953305,243338,945605,245056,938654,249241,928987,255149,923009,259980,916982,265450
"경상북도","계",2714604,449589,2720472,464328,2726464,476999,2722921,489712,2715522,510179,2701863,527137,2701537,547565,2674799,571889,2671729,597182,2653875,620928
"경상북도","남자",1366585,179389,1370288,186788,1373462,193267,1372138,199886,1368830,209956,1362955,218536,1365349,229268,1351360,241221,1349377,254541,1342465,268048
"경상북도","여자",1348019,270200,1350184,277540,1353002,283732,1350783,289826,1346692,300223,1338908,308601,1336188,318297,1323439,330668,1322352,342641,1311410,352880
"경상남도","계",3364561,429236,3389914,446602,3415010,462252,3418140,478028,3422686,502482,3417429,521347,3421417,546823,3396050,578985,3374186,609517,3349801,641490
"경상남도","남자",1702729,167369,1717970,176183,1732188,184237,1732566,192390,1731939,205052,1728177,214821,1732541,228471,1718113,244499,1704867,260160,1694423,277277
"경상남도","여자",1661832,261867,1671944,270419,1682822,278015,1685574,285638,1690747,297430,1689252,306526,1688876,318352,1677937,334486,1669319,349357,1655378,364213
"제주특별자치도","계",595639,78780,610493,81870,629575,85350,648597,88582,666094,92578,677592,95639,686146,100020,689498,105763,692956,110977,696268,116426
"제주특별자치도","남자",298512,31117,306347,32697,316280,34455,326386,36141,335825,38227,341483,39766,346333,42005,347402,44922,348298,47592,350077,50420
"제주특별자치도","여자",297127,47663,304146,49173,313295,50895,322211,52441,330269,54351,336109,55873,339813,58015,342096,60841,344658,63385,346191,66006
