진료년도,희귀질환 상병코드,환자수,명세서 청구건수,입내원일수,보험자부담금,요양급여비용총액
2021,G731,62,300,1239,230543070,265978220
2021,G905,2474,30946,40017,3733968070,4303208730
2021,G906,2911,21983,26282,1831688140,2118846370
2021,G934,4791,15001,45659,6307650310,8303037030
2021,G950,1740,11278,20981,2095294780,2473884920
2021,H163,14619,26067,26124,502290870,695837820
2021,H185,6002,11347,11637,619955000,1064410780
2021,H186,5251,11761,11874,719391950,992378050
2021,H312,251,442,441,30302430,46530010
2021,H350,61866,111715,112113,5447292340,8177291990
2021,H494,94,313,439,55914440,84955620
2021,H498,1338,2517,2735,239419360,372171770
2021,H518,447,795,828,59247050,98898740
2021,I270,1844,9776,16821,9649892280,10755153160
2021,I278,424,2031,3029,1672988140,1878285190
2021,I420,25074,115909,193991,52164810230,57947666820
2021,I421,2642,10690,14361,3013801180,3355091470
2021,I423,37,105,124,13625000,18385030
2021,I424,94,375,449,164816090,179832910
2021,I472,6986,22858,31775,13458496360,15369132630
2021,I675,15102,84168,213302,33551684190,38206925260
2021,I731,4433,25717,39229,4167627660,4884290460
2021,I780,151,781,993,204198890,236457220
2021,I820,329,1682,2208,582386020,661822770
2021,J398,24891,46433,48210,2014893990,3403467120
2021,J840,233,869,1561,376176460,430247450
2021,J841,18611,95433,173677,38891721110,44751840830
2021,K500,9040,52365,64358,27544851480,31109902860
2021,K501,6657,33705,41039,15863886460,17878762560
2021,K508,11773,91775,107960,61057299950,68026515560
2021,K743,5965,26549,31656,4622670810,5323258940
2021,K754,8428,42334,51990,7732715300,8976767540
2021,K830,15226,39880,118916,34197005620,43263644170
2021,L100,718,4120,5637,708311180,819317190
2021,L102,422,2509,3005,301569400,345659780
2021,L120,2297,13976,33497,3184474110,3750285060
2021,L121,59,245,541,52524870,63335420
2021,L123,90,494,632,113855800,128712130
2021,M061,1466,9404,13404,2741706950,3174409440
2021,M080,2556,14514,15683,4686325410,5262923420
2021,M081,256,1266,1300,339133170,382070200
2021,M082,181,1286,1489,341284760,386536240
2021,M083,186,736,766,155377060,175619560
2021,M300,410,2655,3544,454092380,533652900
2021,M301,711,6360,8667,1162964420,1345036880
2021,M302,1,5,5,51300,73000
2021,M310,328,982,1395,260721910,302546220
2021,M311,630,2023,4881,3204676720,3627618680
2021,M313,580,4866,7579,1868791840,2119155460
2021,M314,1907,11661,13496,1623386360,1848710230
2021,M317,912,7322,14363,3528937630,4077464500
2021,M321,22264,159569,189324,25787003110,29244518560
2021,M330,150,1050,1657,309520470,343243830
2021,M331,1893,13588,21365,3702860840,4269001250
2021,M332,1624,11395,19781,2930060770,3400007100
2021,M340,3284,20722,24110,2998521130,3401755080
2021,M341,289,1434,1616,138350600,158437060
2021,M348,1109,7073,8570,1181168550,1332145350
2021,M350,26011,129672,136486,10607955780,12488716660
2021,M351,1786,10010,11427,1375848990,1581811090
2021,M352,19352,111544,126082,13349414680,15426398540
2021,M353,4725,26745,33859,2962301690,3531240440
2021,M354,66,233,288,22527760,29799640
2021,M355,130,807,915,100641250,119572090
2021,M356,25,331,427,56371590,64966220
2021,M611,109,470,529,34669010,43990000
2021,M880,21,72,75,5958990,7791050
2021,M888,61,189,502,30610940,41869620
2021,M889,147,734,1097,69884670,87547670
2021,M922,455,1514,1862,208086520,270761120
2021,M931,696,2391,3336,411475980,523150510
2021,M941,647,3391,4702,528961350,627194500
2021,N040,2905,16097,18952,1359945420,2164174230
2021,N041,1669,9056,10642,1079745930,1553969550
2021,N042,1782,9923,10872,630089340,1092033810
2021,N043,230,1286,1382,65704370,117968650
2021,N044,22,115,115,3297390,6461390
2021,N045,211,839,991,80907150,131747040
2021,N046,13,97,103,22206370,28668750
2021,N047,29,210,344,64500080,77638950
2021,N251,161,688,1504,158370000,188105050
2021,Q031,187,3841,4128,367127030,401352960
2021,Q042,25,361,606,217814590,227558740
2021,Q043,426,9065,10603,1128253310,1234397300
2021,Q046,1518,7468,8808,744511650,976254540
2021,Q050,6,57,57,3264090,3665390
2021,Q051,1,1,1,11580,16480
2021,Q052,17,184,184,11115450,12958950
2021,Q053,7,29,28,1923800,2156100
2021,Q054,14,85,84,4921520,5458020
2021,Q055,6,33,33,1822000,2119400
2021,Q056,164,379,335,11870100,15346080
2021,Q057,97,592,678,43481280,47472750
2021,Q058,158,267,302,22923000,25647670
2021,Q059,2812,13075,15075,2376226820,2587293350
2021,Q062,45,275,374,38256200,43591080
2021,Q070,826,5916,8541,1154531460,1311361950
2021,Q112,225,557,959,80293940,105553420
2021,Q131,182,507,510,39454970,60743970
2021,Q138,128,300,314,41544040,53764860
2021,Q141,318,659,678,63514290,105465260
2021,Q142,709,1471,1483,117034520,193466510
2021,Q161,879,2940,3444,583339780,722382010
2021,Q172,1702,6828,8841,1671693490,1909648990
2021,Q200,119,700,1396,1274623490,1325684050
2021,Q201,1123,4900,8123,6047340130,6361361520
2021,Q202,27,130,196,238872880,250075320
2021,Q203,1314,4588,6853,5269403410,5458135000
2021,Q204,1064,5555,9245,6519295700,6878094180
2021,Q205,111,333,394,176860560,193599180
2021,Q206,64,185,207,41085630,47034910
2021,Q212,954,3288,5132,3694625560,3900459460
2021,Q213,4386,15979,22576,14724296320,15687298550
2021,Q214,61,200,235,117935130,126738160
2021,Q218,127,557,876,544641110,605082660
2021,Q220,986,3530,5921,4633197900,4857140860
2021,Q224,134,730,1563,1313183450,1359493640
2021,Q225,756,3061,4255,1566337320,1674176040
2021,Q226,73,254,344,188530020,202337810
2021,Q230,707,2136,2867,1400914370,1493538620
2021,Q231,5456,18800,23660,8378068180,9087710930
2021,Q232,100,345,616,383075270,406284460
2021,Q233,819,2010,2582,1094884570,1176239500
2021,Q234,136,1297,3330,3557073110,3683230600
2021,Q238,88,231,260,32008330,38460930
2021,Q239,216,671,880,469860820,490040110
2021,Q244,127,328,451,234224070,252126720
2021,Q245,2822,8310,10403,1746560200,2026741470
2021,Q246,99,369,495,257647740,271692210
2021,Q251,1326,4178,6937,5803051760,5954864090
2021,Q252,52,228,450,484937370,503230550
2021,Q253,266,825,1409,570241140,617345400
2021,Q255,419,1583,2522,2054454540,2145459850
2021,Q260,8,28,30,2833870,3203920
2021,Q261,187,500,597,118357080,125964630
2021,Q262,393,1698,3603,3829995640,3898731720
2021,Q263,304,859,1206,691655080,738125960
2021,Q264,20,53,71,30983320,33683150
2021,Q265,52,140,176,24754790,28720480
2021,Q266,21,33,35,10510720,12351670
2021,Q282,4323,14523,23173,8477984110,10295584830
2021,Q383,235,336,341,17619260,22233490
2021,Q438,220,3191,4263,943319460,1022378880
2021,Q442,689,3485,7616,3819669120,4204159730
2021,Q446,8670,13261,14236,1294804850,2036630860
2021,Q447,143,721,927,218713760,246416110
2021,Q611,100,393,497,102199870,119212930
2021,Q619,2685,5123,5191,304517540,533093460
2021,Q641,26,155,394,144667750,154043730
2021,Q740,1788,3469,3797,315801480,436913890
2021,Q743,195,2538,3154,418322070,455038880
2021,Q748,407,806,1129,146624380,186299220
2021,Q750,1818,6977,8854,2190861870,2362022840
2021,Q751,124,982,1118,194737270,214086150
2021,Q754,75,1105,1256,205359310,225805690
2021,Q761,83,290,567,231974540,238832980
2021,Q770,6,44,51,8985930,9667950
2021,Q771,8,13,13,128730,175030
2021,Q772,4,6,6,147810,177410
2021,Q773,169,833,964,114464650,136733180
2021,Q774,380,3653,4666,780688040,848949690
2021,Q775,3,62,62,2707710,3137710
2021,Q776,5,68,73,6814060,7348890
2021,Q777,150,766,919,95150830,110892490
2021,Q778,70,360,409,60183620,67530300
2021,Q779,14,36,36,2429950,3132950
2021,Q780,433,1990,2471,339274570,386615990
2021,Q781,280,1049,1428,216676870,254080500
2021,Q782,103,484,632,119631780,136776640
2021,Q783,11,59,63,6272550,7554990
2021,Q784,533,1614,1970,164755180,214094190
2021,Q785,27,65,70,2821100,4910090
2021,Q786,312,1073,1457,247910610,283950520
2021,Q789,142,243,271,30422790,40537500
2021,Q790,276,1182,2323,1928776110,1957724820
2021,Q791,321,838,1192,355032310,412235850
2021,Q792,233,919,2182,978846170,1028555040
2021,Q793,35,189,284,123873390,126884030
2021,Q794,9,102,140,33214260,35394170
2021,Q795,22,47,45,4969830,6198630
2021,Q796,112,808,872,107771160,123742540
2021,Q798,345,1520,1811,263157870,292916970
2021,Q799,390,2208,2338,164894280,185784610
2021,Q801,31,76,76,1736370,3169270
2021,Q802,11,55,55,1703160,2229760
2021,Q803,16,97,103,7055420,8208200
2021,Q804,6,60,105,39743940,40435200
2021,Q810,102,249,267,49185310,58446220
2021,Q811,3,19,19,23798630,26471530
2021,Q812,46,353,585,332226280,370479830
2021,Q820,107,402,411,23121420,33753910
2021,Q823,219,629,654,53814430,62230440
2021,Q824,41,147,150,7459810,9808500
2021,Q828,4147,7928,8061,255840950,426215950
2021,Q850,5270,26370,30871,7389616970,8444139160
2021,Q851,1071,8754,9361,1539813020,1725918340
2021,Q858,1123,6047,7789,1352978780,1543275240
2021,Q860,1,29,29,1750940,1771440
2021,Q870,634,8154,9937,1244037600,1348951710
2021,Q871,1229,22220,24411,3601286620,3987052580
2021,Q872,651,5402,7306,1482933010,1614061020
2021,Q873,277,3649,3815,319717590,355855430
2021,Q874,1776,8065,9955,1910810950,2126200160
2021,Q875,158,2380,2876,558367560,589460920
2021,Q878,880,9438,10679,1483581740,1630018140
2021,Q900,872,7823,8075,702113180,761785040
2021,Q901,65,437,479,59746350,64034850
2021,Q902,49,677,675,39335220,43345760
2021,Q909,1750,26091,28674,2027918510,2243750960
2021,Q910,26,638,803,139429710,149996170
2021,Q911,7,138,138,7356900,8115900
