"연령별(1)","성별(1)",2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"연령별(1)","성별(1)",계,계,계,계,계,암질환,암질환,암질환,암질환,암질환,뇌혈관,뇌혈관,뇌혈관,뇌혈관,뇌혈관,심장질환,심장질환,심장질환,심장질환,심장질환,희귀난치성질환,희귀난치성질환,희귀난치성질환,희귀난치성질환,희귀난치성질환,중증화상,중증화상,중증화상,중증화상,중증화상,중증외상,중증외상,중증외상,중증외상,중증외상,중증치매,중증치매,중증치매,중증치매,중증치매,결핵,결핵,결핵,결핵,결핵,잠복결핵,잠복결핵,잠복결핵,잠복결핵,잠복결핵
"연령별(1)","성별(1)",진료실인원수 (명),입내원일수 (일),요양급여일수 (일),진료비 (천원),급여비 (천원),진료실인원수 (명),입내원일수 (일),요양급여일수 (일),진료비 (천원),급여비 (천원),진료실인원수 (명),입내원일수 (일),요양급여일수 (일),진료비 (천원),급여비 (천원),진료실인원수 (명),입내원일수 (일),요양급여일수 (일),진료비 (천원),급여비 (천원),진료실인원수 (명),입내원일수 (일),요양급여일수 (일),진료비 (천원),급여비 (천원),진료실인원수 (명),입내원일수 (일),요양급여일수 (일),진료비 (천원),급여비 (천원),진료실인원수 (명),입내원일수 (일),요양급여일수 (일),진료비 (천원),급여비 (천원),진료실인원수 (명),입내원일수 (일),요양급여일수 (일),진료비 (천원),급여비 (천원),진료실인원수 (명),입내원일수 (일),요양급여일수 (일),진료비 (천원),급여비 (천원),진료실인원수 (명),입내원일수 (일),요양급여일수 (일),진료비 (천원),급여비 (천원)
"5 - 9세","여자",6606,126585,1032220,21917021,19945420,831,26178,117110,6872562,6340799,13,160,359,139365,126370,69,600,1742,1132733,1054437,5472,97468,886989,13633570,12293266,36,383,745,55640,48832,4,46,70,35017,33709,-,-,-,-,-,2,3,3,147,147,266,1747,25202,47986,47860
"10 - 14세","계",14853,250201,2718310,79018602,71776826,2124,65742,335673,20406918,18796767,37,491,1206,480032,443241,114,947,2149,2128793,1986363,12235,179256,2334669,55322732,49940389,69,926,1316,257499,215726,23,290,509,301481,275842,-,-,-,-,-,23,266,2822,60594,58188,383,2283,39966,60554,60311
"10 - 14세","남자",8081,137275,1502564,52201115,47438356,1117,36007,179058,11710432,10809477,16,202,452,197083,183144,48,343,617,744832,696971,6734,98990,1300115,39264508,35489007,26,268,537,52623,43560,16,189,390,151927,138681,-,-,-,-,-,17,212,2416,50986,48931,183,1064,18979,28723,28586
"10 - 14세","여자",6772,112926,1215746,26817487,24338470,1007,29735,156615,8696486,7987291,21,289,754,282949,260097,66,604,1532,1383961,1289393,5501,80266,1034554,16058223,14451382,43,658,779,204876,172166,7,101,119,149555,137161,-,-,-,-,-,6,54,406,9607,9257,200,1219,20987,31830,31724
"15 - 19세","계",19941,337923,4168336,149361209,135159796,3032,89245,544734,36020154,33129432,127,1961,3642,2256576,2078343,393,2596,5569,7028380,6573568,15272,232099,3500590,100271172,89887957,46,831,1117,298896,239094,112,1814,2712,2826094,2597185,-,-,-,-,-,172,2361,24804,414070,409327,1045,7016,85168,245868,244890
"15 - 19세","남자",11799,205312,2420395,102560626,92930891,1551,54826,284387,22618013,20850579,72,1138,1904,1330117,1225245,247,1775,3594,4824328,4512347,8999,138388,2039782,71260722,64014139,22,451,544,226129,179260,73,1132,1745,1815359,1666430,-,-,-,-,-,95,1455,15161,267150,264455,903,6147,73278,218808,218434
"15 - 19세","여자",8142,132611,1747941,46800583,42228906,1481,34419,260347,13402140,12278852,55,823,1738,926459,853098,146,821,1975,2204053,2061221,6273,93711,1460808,29010450,25873818,24,380,573,72767,59834,39,682,967,1010734,930755,-,-,-,-,-,77,906,9643,146920,144872,142,869,11890,27060,26456
"20 - 24세","계",35281,556851,7445810,234756876,211448467,7068,128657,1217472,53466820,48952542,212,3373,6903,3741229,3438930,584,4104,9296,10017091,9319921,25747,400504,6048731,160753009,143470444,99,2665,3950,1187423,1037120,143,2294,3679,3812318,3482059,-,-,-,-,-,434,6846,63677,1481431,1450279,1461,8408,92102,297556,297171
"20 - 24세","남자",19359,312323,4113652,149861991,135122156,2542,59630,459571,27292813,25128639,118,1906,3586,2182311,2007847,330,2227,5142,5955917,5545259,15502,237791,3567572,109911924,98268213,46,1503,2033,704559,615836,105,1670,2581,2676809,2441464,-,-,-,-,-,210,3700,31558,1000134,977529,752,3896,41609,137525,137369
"20 - 24세","여자",15922,244528,3332158,84894885,76326312,4526,69027,757901,26174007,23823903,94,1467,3317,1558918,1431084,254,1877,4154,4061174,3774662,10245,162713,2481159,50841085,45202231,53,1162,1917,482864,421284,38,624,1098,1135509,1040595,-,-,-,-,-,224,3146,32119,481297,472751,709,4512,50493,160031,159802
"25 - 29세","계",57884,902015,12359990,340643454,306212379,17473,236875,2849271,86340253,78462660,358,5302,11144,5889096,5436705,691,5363,11925,13284604,12360493,37539,626176,9246665,226163835,201589987,125,2702,4283,1081062,932724,194,2942,4661,4467274,4080200,1,8,354,947,853,879,13740,132098,3075758,3008874,1473,8907,99589,340626,339883
"25 - 29세","남자",27530,453671,6198581,201964777,181863127,4677,85041,783931,38252300,35102522,173,2619,5390,2795429,2580921,377,3072,7210,7749928,7202230,21529,349686,5298782,147778296,131945602,58,1180,1873,504077,442338,142,2002,3292,2967447,2706542,1,8,354,947,853,434,7119,64088,1797128,1763045,498,2944,33661,119224,119073
"25 - 29세","여자",30354,448344,6161409,138678678,124349252,12796,151834,2065340,48087954,43360138,185,2683,5754,3093668,2855784,314,2291,4715,5534676,5158263,16010,276490,3947883,78385539,69644386,67,1522,2410,576984,490386,52,940,1369,1499826,1373657,-,-,-,-,-,445,6621,68010,1278630,1245828,975,5963,65928,221401,220809
"30 - 34세","계",76222,1182802,16295196,419510824,376866924,31984,405462,5438654,140234997,126713728,657,9867,19841,10683723,9836955,934,6940,16780,17384882,16150887,41230,730255,10565051,242437171,215923791,122,3582,5993,1262581,1102041,156,2223,3290,3400133,3107396,1,12,426,373,336,1051,17121,159822,3830391,3755701,1273,7340,85339,276574,276087
"30 - 34세","남자",32717,551745,7528417,235052504,211664729,8187,118313,1445054,50955359,46575956,363,5777,10624,5905909,5441689,529,4411,10439,10881912,10109666,22910,406843,5937740,161632345,144229451,75,2450,4435,861836,744836,115,1626,2466,2325380,2120719,1,12,426,373,336,569,9861,87646,2394071,2346851,441,2452,29587,95319,95225
