진료년도,희귀질환 상병코드,환자수,명세서 청구건수,입내원일수,보험자부담금,요양급여비용총액
2022,M931,679,2522,3258,365077250,467473020
2022,M941,675,3486,4813,523301510,629119670
2022,N040,2905,15614,17884,1157970980,1937808120
2022,N041,1766,9611,11665,1172867620,1733653970
2022,N042,1739,9345,10258,564255070,1020199790
2022,N043,214,1255,1373,98532300,146481880
2022,N044,28,110,130,14585920,20202870
2022,N045,220,866,1032,90095400,145522750
2022,N046,16,87,87,3854640,7882840
2022,N047,33,167,291,29080230,38598350
2022,N251,169,712,1236,181801110,210437620
2022,P350,2,3,11,8111840,8128890
2022,Q031,182,3277,3374,204368240,228040090
2022,Q042,28,484,633,137437590,142324870
2022,Q043,418,8348,9628,1078188940,1195168980
2022,Q046,1576,7757,8541,635941690,870966060
2022,Q050,5,54,54,2825810,3173010
2022,Q051,3,81,80,6904840,7668040
2022,Q052,19,209,210,7328970,8477390
2022,Q053,5,40,40,2451550,2738250
2022,Q054,14,69,242,14804340,17839720
2022,Q055,7,104,104,4660780,5189980
2022,Q056,192,449,419,19951740,24774160
2022,Q057,86,413,493,24307240,29256320
2022,Q058,35,120,121,8988640,10876690
2022,Q059,2938,12573,14103,2324538440,2536624240
2022,Q062,28,183,244,26216080,30011120
2022,Q070,890,6127,8358,1294365360,1469856820
2022,Q112,214,516,905,58445310,80341260
2022,Q131,183,520,526,37039940,56268860
2022,Q138,148,363,409,94144230,112353540
2022,Q141,337,598,598,47853460,83113070
2022,Q142,759,1528,1547,112407750,192540310
2022,Q161,927,3182,3634,536376390,670582030
2022,Q172,1698,6796,8912,1890649040,2149180670
2022,Q200,117,569,824,771226630,815385680
2022,Q201,1110,4451,6906,4767495840,5020634760
2022,Q202,27,212,309,177687170,180474290
2022,Q203,1309,4563,7300,6486655640,6726694630
2022,Q204,1082,5731,8905,5618614540,5986372200
2022,Q205,118,378,482,186182440,203313890
2022,Q206,59,170,265,117091460,121230210
2022,Q212,954,3521,6183,4781791790,5015154520
2022,Q213,4418,15858,21502,15310884710,16238701700
2022,Q214,63,222,329,212098810,219209350
2022,Q218,92,424,464,186259980,209032350
2022,Q220,982,3458,5714,4652902660,4898433520
2022,Q224,140,817,1936,1404076070,1497095160
2022,Q225,769,3043,4357,1917257870,2046273610
2022,Q226,76,311,358,173971830,180985290
2022,Q230,691,2076,2912,1249328340,1342539600
2022,Q231,6043,20425,25197,9896827190,10775293670
2022,Q232,101,468,754,332918160,362753870
2022,Q233,844,2068,2346,864359320,936928230
2022,Q234,129,1436,3282,3824315180,3911789500
2022,Q238,122,321,358,80166300,91323210
2022,Q239,223,638,755,408400130,437558780
2022,Q244,132,356,621,350970230,378092380
2022,Q245,2894,8399,10441,1667655220,1969872950
2022,Q246,103,377,498,280733540,295980780
2022,Q251,1328,3962,6209,4317429290,4488311370
2022,Q252,56,259,580,788416810,803141510
2022,Q253,271,827,1207,363359680,402997750
2022,Q255,427,1766,3198,2762823650,2890623580
2022,Q260,9,30,30,2792190,3173690
2022,Q261,230,569,795,282618130,296083070
2022,Q262,411,1660,3338,4019721600,4093451030
2022,Q263,339,1053,1491,891154960,949444660
2022,Q264,27,66,161,187329230,198831470
2022,Q265,54,165,224,63515470,69507750
2022,Q266,21,34,69,22273090,28542200
2022,Q282,4408,15053,22320,7878674090,9701418170
2022,Q383,237,386,385,14621480,19050930
2022,Q438,218,3607,4211,799970320,879202560
2022,Q442,699,3315,6208,2986354110,3274643150
2022,Q446,8480,12985,13747,1273285740,2017293040
2022,Q447,151,826,1027,154246190,175070560
2022,Q611,89,391,412,44882820,55705120
2022,Q619,2630,5032,5321,365547270,603691060
2022,Q641,27,118,161,39904200,43631880
2022,Q740,1956,3732,4052,350584830,476023630
2022,Q743,217,2817,3048,337416770,373594610
2022,Q748,374,807,971,94250120,132217130
2022,Q750,1682,6911,8525,2080257540,2259620220
2022,Q751,135,1196,1283,229900260,256181070
2022,Q754,79,1152,1230,120365750,138771320
2022,Q761,108,355,533,141360200,150918420
2022,Q770,8,37,37,1187900,1357500
2022,Q771,2,3,5,2633210,2682560
2022,Q772,5,7,7,143530,212730
2022,Q773,174,926,1027,112797610,131678390
2022,Q774,388,3429,4138,612542510,666704020
2022,Q775,4,82,81,3441360,3883560
2022,Q776,7,91,93,4357020,4834320
2022,Q777,139,620,1041,131151200,150351000
2022,Q778,76,458,548,84274000,95052380
2022,Q779,10,26,28,2062900,2550150
2022,Q780,444,2031,2514,369081390,422496510
2022,Q781,286,1090,1307,158837180,183846670
2022,Q782,107,415,509,60664560,71484610
2022,Q783,16,60,63,6203620,8400020
2022,Q784,524,1403,1672,139688580,176150880
2022,Q785,22,73,164,24556800,27985310
2022,Q786,339,919,1301,264849210,298104340
2022,Q789,102,224,238,20300590,25838080
2022,Q790,281,1366,2755,2802111170,2856576650
2022,Q791,334,725,1091,374648610,407874540
2022,Q792,235,913,1590,822877550,850986790
2022,Q793,37,151,367,284882700,287780830
2022,Q794,14,246,289,69148360,75629430
2022,Q795,24,56,61,6988910,8183440
2022,Q796,125,851,854,64856650,76995800
2022,Q798,325,1294,1500,145245410,174309990
2022,Q799,349,2057,2184,202516150,225509020
2022,Q801,32,73,73,2557640,3518340
2022,Q802,17,83,122,32321620,33104830
2022,Q803,28,205,203,8289230,9966630
2022,Q804,4,13,13,798690,1019490
2022,Q810,109,213,244,57091690,62381990
2022,Q811,4,27,28,30179350,33517460
2022,Q812,55,417,721,404851330,451458740
2022,Q820,94,359,375,41117270,59366270
2022,Q823,206,567,879,116262400,125733420
2022,Q824,38,136,136,5770970,7046770
2022,Q828,4173,8359,8446,286295270,480655420
2022,Q850,5730,28128,31744,7478602760,8593515040
2022,Q851,1109,8839,9673,1608721560,1796839860
2022,Q858,1182,6825,8561,1386315810,1572178090
2022,Q860,1,28,28,1522330,1522330
2022,Q870,716,8807,11320,1548753680,1672613590
2022,Q871,1304,24302,27792,4799568770,5227564570
2022,Q872,773,6177,7806,1756084060,1876489660
2022,Q873,408,3599,3970,346744080,392622520
2022,Q874,1938,8359,10300,2246745600,2499444200
2022,Q875,173,2719,3010,272519040,304347340
2022,Q878,1083,10860,12118,1631790760,1816401250
2022,Q900,923,7628,7868,691226820,753259690
2022,Q901,85,677,681,45402330,50758970
2022,Q902,49,824,822,42438340,45735510
2022,Q909,1698,25297,27682,1722248940,1953585410
2022,Q910,23,753,891,126641660,137367020
2022,Q911,8,141,141,8268760,9134460
2022,Q912,4,152,168,43841130,46772990
2022,Q914,5,59,59,3104840,3225340
2022,Q915,3,36,36,933380,1033880
2022,Q916,1,3,3,203700,226300
2022,Q917,17,251,355,124900190,126575990
2022,Q922,36,145,232,61780220,64749370
2022,Q923,100,1295,1321,105057230,118008990
2022,Q928,19,336,336,17262760,20630760
2022,Q932,32,225,367,42764930,47552990
